606,Нижний Новгород,Нижегородская область,Приволжский,1250615,1221
704,Владивосток,Приморский край,Дальневосточный,592069,1860
693,Пермь,Пермский край,Приволжский,1000679,1723
1109,Ярославль,Ярославская область,Центральный,591486,1010
5,Барнаул,Алтайский край,Сибирский,612091,1730
490,Москва,Москва,Центральный,400000,1147
321,Новокузнецк,Кемеровская область,Сибирский,547885,1618
222,Иркутск,Иркутская область,Сибирский,587225,1661
829,Екатеринбург,Свердловская область,Уральский,1377738,1723
1059,Коркино,Челябинская область,Уральский,30273,1936
380,Краснодар,Краснодарский край,Южный,744933,1793
634,Новосибирск,Новосибирская область,Сибирский,1498921,1893
1009,Хабаровск,Хабаровский край,Дальневосточный,577668,1858
653,Оренбург,Оренбургская область,Приволжский,570329,1743
744,Ростов-на-Дону,Ростовская область,Южный,1091544,1749
769,Самара,Самарская область,Приволжский,1164900,1586
989,Тюмень,Тюменская область,Уральский,581758,1586
62,Уфа,Башкортостан,Приволжский,1062300,1574
643,Омск,Омская область,Сибирский,1154000,1716
121,Волгоград,Волгоградская область,Южный,1021244,1589
177,Махачкала,Дагестан,Северо-Кавказский,577990,1844
993,Ижевск,Удмуртия,Приволжский,628117,1760
781,Санкт-Петербург,Санкт-Петербург,Северо-Западный,4848742,1703
315,Кемерово,Кемеровская область,Сибирский,532884,1918
159,Воронеж,Воронежская область,Центральный,889989,1586
1058,Челябинск,Челябинская область,Уральский,1130273,1736
771,Тольятти,Самарская область,Приволжский,719484,1737
410,Красноярск,Красноярский край,Сибирский,1000000,1628
1002,Ульяновск,Ульяновская область,Приволжский,613793,1648
922,Казань,Татарстан,Приволжский,1143546,1005
797,Саратов,Саратовская область,Приволжский,836900,1590
